,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg,Total keypass,Long keypass,Short keypass
0,24,2,66,567,12.1,2.1,10.0
1,17,1,56,337,7.4,1.5,5.9
2,20,1,73,271,7.4,2.1,5.3
3,16,1,58,334,7.0,1.2,5.8
4,21,2,55,473,10.8,1.8,9.0
5,17,2,55,439,8.9,1.2,7.8
6,18,0,63,312,8.0,1.3,6.7
7,20,1,65,337,8.7,1.8,6.9
8,17,2,49,482,10.6,1.7,8.9
9,16,0,63,285,7.9,1.7,6.2
10,18,2,53,444,7.9,0.9,7.0
11,21,0,63,307,9.8,1.8,8.0
12,18,1,59,427,9.0,1.7,7.3
13,23,2,57,559,12.2,2.2,10.0
14,21,1,63,358,9.0,1.7,7.2
15,24,2,53,645,15.4,1.3,14.1
16,13,1,59,404,8.0,0.9,7.1
17,23,0,74,323,7.1,1.7,5.4
18,18,1,67,349,9.0,1.4,7.6
19,19,1,68,377,8.9,1.3,7.6
